firstName,lastName,dob,title,gender,country,serviceNumber,isNovice,isReserve,arrivalSeed
Alexander,Smith,1995-05-14,2Lt,M,GBR,30120456,false,false,216
Emily,Brown,1990-04-30,Capt,F,GBR,30098576,true,false,180
James,Johnson,2001-11-21,Maj,M,GBR,30214589,false,false,350
Isabella,Williams,2003-01-31,Tpr,F,GBR,30065432,false,false,140
Liam,Jones,1998-09-12,Lt Col,M,GBR,30356789,false,false,297
Olivia,Davies,1985-02-25,WO2,F,GBR,30137594,true,false,348
Noah,Summer,1987-06-10,Sgt,M,GBR,30432167,false,false,250
Ava,Wilson,1999-07-23,Maj,F,GBR,30291475,true,false,380
William,Evans,2000-10-15,2Lt,M,GBR,30073458,false,false,167
Sophia,Thomas,1992-12-05,Lt,F,GBR,30340976,true,false,240
Mason,Taylor,1986-03-17,Capt,M,GBR,30081623,false,false,92
Harper,Moore,1991-09-28,Tpr,F,GBR,30415342,false,false,312
Ethan,Anderson,1994-07-12,Maj,M,GBR,30253689,false,true,370
Mia,Jackson,1996-11-04,WO2,F,GBR,30178945,true,false,280
Lucas,White,1997-05-22,2Lt,M,GBR,30206782,false,true,190
Charlotte,Harris,1989-10-18,Gnr,F,GBR,30367821,false,false,260
Henry,Martin,2002-04-16,ATpr,M,GBR,30094632,false,false,140
Ella,Thompson,2000-02-11,Lt,F,GBR,30419803,true,false,225
Sebastian,Garcia,1993-09-07,2Lt,M,GBR,30175496,false,false,199
Aria,Martinez,1988-08-26,Sjt,F,GBR,30314528,false,false,340
Michael,Robinson,2004-06-14,Capt,M,GBR,30051347,true,false,364
Amelia,Clark,2001-03-25,LBdr,F,GBR,30248956,false,true,129
Benjamin,Rodriguez,1987-12-13,WO2,M,GBR,30127894,false,false,278
Evelyn,Walker,1984-11-19,Sgt,F,GBR,30310953,true,false,322
Aiden,Lewis,1999-10-07,Capt,M,GBR,30404765,false,true,301
Abigail,Lee,1998-01-20,Maj,F,GBR,30135784,false,false,187
Jack,Hall,1992-12-30,Lt,M,GBR,30062789,false,false,266
Scarlett,Allen,1995-08-15,2Lt,F,GBR,30278945,false,false,215
Daniel,Scott,1986-11-26,Maj,M,GBR,30319384,false,false,178
Grace,Wright,1993-04-29,Lt Col,F,GBR,30047861,false,false,348
Gabriel,King,2002-07-30,Capt,M,GBR,30125678,false,true,95
Zoe,Green,1990-06-10,Pte,F,GBR,30416728,true,false,210
Carter,Adams,1998-05-13,Maj,M,GBR,30267891,false,true,341
Riley,Baker,2003-09-08,CSgt,F,GBR,30094682,true,false,289
Owen,Hill,1996-02-11,Lt,M,GBR,30164932,false,false,88
Victoria,Ramirez,2004-12-20,2Lt,F,GBR,30341876,false,false,250
Leo,Campbell,1991-01-27,Maj,M,GBR,30286719,false,true,350
Hannah,Mitchell,1995-07-04,WO2,F,GBR,30074438,true,false,245
David,Perez,1989-09-02,Gnr,M,GBR,30149837,false,false,365
Lillian,Roberts,1997-10-26,2Lt,F,GBR,30430672,false,false,122
Caleb,Carter,1994-06-14,Maj,M,GBR,30212589,false,false,388
Aurora,Miller,1988-09-23,Tpr,F,GBR,30308475,true,false,190
Julian,Davis,2001-05-31,Pte,M,GBR,30134897,false,true,339
Penelope,Garcia,1983-11-17,Tpr,F,GBR,30057964,true,false,280
Nathan,Young,2000-02-17,Lt Col,M,GBR,30273849,false,true,249
Zoey,Ross,1992-08-05,Sjt,F,GBR,30421534,true,false,311
Nicholas,Hernandez,1985-12-19,Sgt,M,GBR,30178546,false,false,256
Avery,Benjamin,1999-03-12,2Lt,F,GBR,30246578,false,false,201
Connor,Phillips,1995-01-24,Lt,M,GBR,30319823,false,false,222
